schema_version,alert_id,trigger,symbol,timestamp_ms,feature_value,direction,regime,regime_status,vix_status,vix_close,vix_q75,vix_gate_ok,market_cap_usd,mc_suspicious,oi_to_mc_ratio,liquidity_24h_usd,liquidity_ok,identity_gate_status,score_vol,e29_status,e29_score,e29_ok,source,notes
v1,cvd_bear_divergence_SKYAIUSDT_1786309200000,cvd_bear_divergence,SKYAIUSDT,1786309200000,2.0048529487323665,Long,default,OK,low,15.15,20.29,True,98274052.0,False,0.12935602984325914,78036749.03371,True,VERIFIED,,high,1.30986340201449,True,CVD_APPROX,前向影子（binance_free_db）；CVD 为 klines taker 近似 | e29_high 本地冲击环境（211，研究标注）
v1,wash_cvd_SKYAIUSDT_1786309200000,wash_cvd,SKYAIUSDT,1786309200000,1.0,Long,default,OK,low,15.15,20.29,True,98274052.0,False,0.12935602984325914,78036749.03371,True,VERIFIED,,high,1.30986340201449,True,COINGLASS_DIM, | e29_high 本地冲击环境（211，研究标注）
v1,cvd_bear_divergence_RAVEUSDT_1786309200000,cvd_bear_divergence,RAVEUSDT,1786309200000,3.6504562795451037,Long,default,OK,low,15.15,20.29,True,82170904.0,False,0.07664814842391669,10305585.9056,True,VERIFIED,,high,1.30986340201449,True,CVD_APPROX,前向影子（binance_free_db）；CVD 为 klines taker 近似 | e29_high 本地冲击环境（211，研究标注）
