symbol,timestamp,feature,feature_value,ret_24h_at_event,conf_cvd,conf_fund,conf_oi,episode,ret_4h,ret_24h,ret_72h,ret_168h,mfe_pct,mae_pct
DOGEUSDT,1645484400000,washout_settle,-2.2665121538874033,-6.186397247236242,False,False,False,2022熊底+FTX底,-1.9665990323084137,2.3880131106602143,-3.277665053847356,4.128297174964879,5.220852192913994,-13.336975183393173
DOGEUSDT,1645743600000,washout_settle,-2.1348666676768264,-2.6011787819253507,False,False,False,2022熊底+FTX底,-0.3227368081329618,2.86428917218009,-0.9036630627723086,4.526383734064865,10.012909472325315,-1.8799419073745383
DOGEUSDT,1649253600000,washout_settle,1.4009114498171087,-8.430178933776055,False,False,False,2022熊底+FTX底,-1.161697555734631,-3.861133494493696,-3.424657534246567,-6.271823798012344,5.163846360461988,-10.441847972065544
DOGEUSDT,1649685600000,washout_settle,0.43558485145491044,-9.930626927029806,False,False,False,2022熊底+FTX底,0.25673940949935137,-0.9912993866780795,2.0967051775780954,-2.531735843674221,6.41848523748394,-4.88518043075169
DOGEUSDT,1650844800000,washout_settle,-2.5116276503209574,-5.451295799821287,False,False,False,2022熊底+FTX底,1.3547574039067367,21.14051669817265,11.318525519848798,4.804662885948341,29.521109010712053,-2.4653434152488884
DOGEUSDT,1651359600000,washout_settle,-2.143667210159049,-5.664294187425867,False,False,False,2022熊底+FTX底,2.2477208425023543,4.188934297390756,1.6897202137692746,0.12574662055959696,7.5369380697893895,-2.074819239232939
DOGEUSDT,1651842000000,washout_settle,-2.155576575104591,-6.011918231877489,False,False,False,2022熊底+FTX底,1.3001605136436556,2.8009630818619735,-5.521669341894054,-25.473515248796154,5.7223113964687045,-41.46869983948637
DOGEUSDT,1652101200000,washout_settle,-2.580241985001643,-5.339337407526534,False,False,False,2022熊底+FTX底,-6.846755011892636,-2.4125042473666425,-35.95820591233435,-26.469588854909965,0.2633367312266266,-38.047910295616724
DOGEUSDT,1652360400000,washout_settle,-4.1698892719147045,-22.446250385762788,False,False,False,2022熊底+FTX底,10.903302825308403,23.172834593447412,17.734447539461474,13.105186364239296,23.637087146836457,0.0
DOGEUSDT,1652619600000,washout_settle,-2.05690636535922,4.719207173194917,False,False,False,2022熊底+FTX底,0.7210455159981866,-2.4785939612438135,-2.3546642631816272,-2.9743127534925695,4.867057232987815,-7.334384858044163
DOGEUSDT,1652922000000,washout_settle,-1.8026181066500706,-8.038908765652952,False,False,False,2022熊底+FTX底,2.0790273556231087,6.200607902735555,2.9179331306990797,0.8145896656534868,6.772036474164134,-1.2279635258358623
DOGEUSDT,1654866000000,washout_settle,-2.0115742010800286,-4.038630377524144,False,False,False,2022熊底+FTX底,-1.999738596261913,-6.299830087570246,-28.610639132139582,-25.382302966932425,0.6142987844726333,-34.27003006142987
DOGEUSDT,1655125200000,washout_settle,-4.565892916556701,-15.041219474257272,False,False,False,2022熊底+FTX底,1.1717319663127057,3.295496155254485,2.4350054924935804,8.861222995239837,15.031124130355167,-8.20212376418895
DOGEUSDT,1655384400000,washout_settle,-2.395128115817812,2.735952993022406,False,False,False,2022熊底+FTX底,3.4137622877569385,2.037533512064349,1.0902591599642575,12.83288650580876,22.823949955317246,-10.384271671134949
DOGEUSDT,1656378000000,washout_settle,-0.11843340039013155,-8.03287380699893,False,False,False,2022熊底+FTX底,1.51340443931971,-3.1709426347650504,-2.219659844335542,0.6197751513404404,4.94378783511098,-9.772268665321416
DOGEUSDT,1657576800000,washout_settle,-0.5037702035555399,-8.699524940617586,False,False,False,2022熊底+FTX底,1.4634146341463428,-1.8699186991869898,0.4715447154471475,8.048780487804862,11.577235772357719,-4.975609756097565
DOGEUSDT,1658386800000,washout_settle,0.6327669755424927,-8.73954044361801,False,False,False,2022熊底+FTX底,-0.4802794353078066,1.7464706738466118,-0.21830883423081815,-3.2018629020520994,3.3910638917188374,-12.37083393974675
DOGEUSDT,1658790000000,washout_settle,-1.4766831863825345,-8.367890995260652,False,False,False,2022熊底+FTX底,-0.33942136738323025,0.9536124131242829,11.685792791336658,10.58671407790528,19.52481008566349,-2.6830450945530937
DOGEUSDT,1660867200000,washout_settle,0.6565915270343037,-8.35909484357611,False,False,False,2022熊底+FTX底,0.25637565780598504,-7.165024962892996,-7.070570773175,-7.812710835244896,0.25637565780598504,-10.943192551612457
DOGEUSDT,1661565600000,washout_settle,-1.5496420524416596,-8.139702698802143,False,False,False,2022熊底+FTX底,-0.48703849175177893,-0.20424194815397145,-0.6127258444619033,-3.2835820895522394,0.7855459544383381,-5.200314218381774
DOGEUSDT,1662508800000,washout_settle,-1.5443963794211872,-8.661172445964871,False,False,False,2022熊底+FTX底,-0.11916922029281407,4.034729315628183,8.341845420497119,2.1280217909431354,10.861423220973787,-1.5832482124616964
DOGEUSDT,1663552800000,washout_settle,-2.2318858095016276,-7.777596608511339,False,False,False,2022熊底+FTX底,-0.5304101838755293,3.483026874115991,1.5735502121640765,8.592644978783603,18.723479490806238,-0.7956152758132884
