symbol,timestamp,feature,feature_value,ret_24h_at_event,ret_4h,ret_24h,ret_72h,ret_168h,mfe_pct,mae_pct,trigger
DOGEUSDT,1719234000000,liq_short_z,2.5412746074655983,-3.993558776167472,-2.2643408252264297,3.639718215363974,4.168064407916816,3.924857430392481,7.455551828245555,-2.9688024152968784,liq_cascade_short
DOGEUSDT,1719478800000,liq_short_z,2.602502288539905,-0.904941138784332,0.3798286730240852,2.4648456440924615,-1.0101826410214954,-9.738160659447237,3.2487473735251404,-9.738160659447237,liq_cascade_short
DOGEUSDT,1719795600000,liq_short_z,4.611272387481527,4.491609081934844,-0.28341993386867825,-3.0310187372067365,-10.218863171154148,-20.587309085183435,0.0,-25.93292394898441,liq_cascade_short
DOGEUSDT,1720098000000,liq_short_z,2.9381860914268834,-9.803593815294608,0.3799110452186838,-6.0415122312824305,-0.6486286137879937,2.2424017790956263,5.050037064492208,-12.824314306894003,liq_cascade_short
DOGEUSDT,1720411200000,liq_short_z,3.7727941127054936,-5.462146687267111,5.729667371659297,3.826187271678516,3.441645837338969,12.862910978657949,13.7473562776389,-0.2787925398961777,liq_cascade_short
DOGEUSDT,1720699200000,liq_short_z,11.25510011177469,1.850664223545584,-3.1393361518395335,-4.542592426014213,0.4857425564450901,9.507960780786174,13.537824952775024,-5.181253935414231,liq_cascade_short
DOGEUSDT,1720890000000,liq_short_z,2.146200494571692,3.954224041682153,-0.08950147677436737,0.716011814194939,12.789761031057001,20.800143202362854,20.800143202362854,-0.45645753154927027,liq_cascade_short
DOGEUSDT,1721145600000,liq_short_z,2.215741065325123,4.999584061226181,-0.8001901441926917,-3.6840437331643217,-1.473617493265722,1.473617493265733,12.565362066233575,-6.575819996830933,liq_cascade_short
DOGEUSDT,1721592000000,liq_short_z,12.584451193179023,4.890576150067005,-0.7309630260449951,0.3335462351855778,-7.259953161592514,-8.196721311475407,0.8303172237598577,-13.490880703995467,liq_cascade_short
DOGEUSDT,1722603600000,liq_short_z,2.0004270660646197,-1.3244481466055835,-4.431875738645951,-4.127975687995944,-24.725645787607633,-12.502110417018397,0.0,-30.17896336316055,liq_cascade_short
DOGEUSDT,1722790800000,liq_short_z,3.5449003321500343,-5.698271835590852,3.576027736503229,-4.566617137196638,-3.813769192669636,4.487369985141165,8.826151560178296,-18.068350668647838,liq_cascade_short
DOGEUSDT,1723082400000,liq_short_z,2.0206932182644883,2.071005917159763,-0.5097451274362785,5.2473763118440875,9.055472263868069,2.3088455772114047,9.805097451274358,-1.1894052973513203,liq_cascade_short
DOGEUSDT,1724313600000,liq_short_z,2.0351729030091597,1.728276524243877,-0.36809815950920033,1.2741859367626285,2.897593204341664,-5.153374233128838,8.003775365738552,-7.494100991033504,liq_cascade_short
DOGEUSDT,1724835600000,liq_short_z,2.208705633623784,-2.8268551236749206,-1.6707616707616668,-1.2874692874692784,-1.08108108108107,-5.454545454545457,0.29484029484030394,-7.53808353808354,liq_cascade_short
DOGEUSDT,1725040800000,liq_short_z,6.403206630197086,2.1974683544303764,0.42608006341657845,0.55489496630996,-3.3392786365437965,-9.71066191042409,1.02061038446295,-9.71066191042409,liq_cascade_short
DOGEUSDT,1725307200000,liq_short_z,2.218322102139083,0.37441813398098045,0.15122492186712133,-1.2400443593104105,-1.2803710051416561,4.940014114326052,4.940014114326052,-9.869946567194276,liq_cascade_short
DOGEUSDT,1726927200000,liq_short_z,2.8432722607898384,3.933174224343672,-0.21126113713603178,-2.902544318912459,-1.0838614861761742,19.592174152659148,19.592174152659148,-3.811885735280607,liq_cascade_short
DOGEUSDT,1727330400000,liq_short_z,2.9746837229434457,4.072814195090557,1.5371024734982308,9.213780918727931,12.093639575971737,-6.643109540636038,15.71554770318022,-8.33922261484098,liq_cascade_short
DOGEUSDT,1727521200000,liq_short_z,9.283287260466839,1.8106190359677088,4.934711207241849,1.6983097011936232,-5.4554193703436615,-12.58511575743011,4.934711207241849,-18.120644075943282,liq_cascade_short
