episode,n,4h_mean,4h_excess,4h_ci_lo,4h_ci_hi,24h_mean,24h_excess,24h_ci_lo,24h_ci_hi,72h_mean,72h_excess,72h_ci_lo,72h_ci_hi,168h_mean,168h_excess,168h_ci_lo,168h_ci_hi,verdict
2022磨底+FTX底,444,0.06995996293307055,0.15671338943183205,-0.0877694762418659,0.40977754836044805,-0.23309309299723288,-0.3016287240454297,-0.9155573185961013,0.36633123933234674,0.3664513021544841,0.1898161972237128,-0.7840973949650046,1.1838066921708066,1.0356803293583225,0.40840510489148185,-1.1011134527067021,1.9841880782047459,NO_GO
2023平台蓄力,453,0.1951069149014965,0.14400536258075786,-0.11932424044451444,0.4322165972114543,0.3243863256057904,0.1039349035796199,-0.4044179975295786,0.6542409927720928,1.324417363409433,0.4846235467040242,-0.44864792478958965,1.3625627335439718,2.1760710658516387,0.3395001876024495,-1.1364088060077495,1.8408597625350915,NO_GO
2024崩→恢复,311,-0.30993262974463637,-0.31257598942164794,-0.5841322899564219,-0.03965237444368632,-0.11265414905008715,-0.39118929411118436,-1.0307135916893426,0.24488535058286168,0.4054971567248853,-0.15955850857470122,-1.2593516726914833,1.1897471729963407,1.2835995129768167,0.1417752789745197,-1.5544014310005456,2.0918436683824893,NO_GO
2025顶→熊,1367,-0.050055952423096545,-0.006398546860561863,-0.20819990783561199,0.20184833008235717,0.4325248519568957,0.38442466873360426,-0.12721958450521217,0.9003866747062516,1.3076523885595774,0.7915948161761229,-0.3971035041726952,2.3492012503420243,2.2142596151981127,1.459788804435723,0.036364033927083685,3.0012536906609033,NO_GO
当前筑底(前向),6,0.1813814077860206,,,,1.8417159576397648,,,,2.9672099940678205,,,,,,,,PENDING
