bucket,every_n,n_sym,fund_pnl,price_pnl,gross,turnover,net_real,net_pess,rebalanced
1683302400000,1,25,0.0,0.0,0.0,0.9999999999999999,-0.0016199999999999997,-0.0026999999999999997,1
1683331200000,1,25,9.2952e-05,-0.0060143330116440245,-0.005921381011644024,0.6,-0.006893381011644024,-0.007541381011644024,1
1683360000000,1,25,7.786099999999999e-05,-0.02650334531041849,-0.026425484310418492,0.6,-0.027397484310418493,-0.028045484310418492,1
1683388800000,1,25,0.00013706200000000002,-0.0027465694679160734,-0.0026095074679160736,0.6,-0.0035815074679160733,-0.0042295074679160735,1
1683417600000,1,25,9.8759e-05,-0.015301133843495508,-0.015202374843495507,0.8,-0.016498374843495506,-0.017362374843495506,1
1683446400000,1,25,0.00011947200000000002,-0.002242470919697059,-0.002122998919697059,0.7999999999999999,-0.003418998919697059,-0.0042829989196970595,1
1683475200000,1,25,3.621700000000001e-05,0.00023151318807036433,0.00026773018807036434,0.9999999999999999,-0.0013522698119296354,-0.0024322698119296354,1
1683504000000,1,25,0.00011980299999999998,0.0015624993664903773,0.0016823023664903772,0.9999999999999999,6.230236649037752e-05,-0.0010176976335096225,1
1683532800000,1,25,7.6541e-05,-0.01328480254102174,-0.01320826154102174,1.0,-0.01482826154102174,-0.01590826154102174,1
1683561600000,1,25,7.790299999999999e-05,0.008514110489295568,0.008592013489295568,0.9999999999999999,0.0069720134892955685,0.005892013489295569,1
1683590400000,1,25,0.000207932,0.01912312372207662,0.01933105572207662,1.2,0.01738705572207662,0.01609105572207662,1
1683619200000,1,25,0.00012734,-0.0018797262045537112,-0.001752386204553711,0.9999999999999999,-0.0033723862045537106,-0.004452386204553711,1
1683648000000,1,25,4.3341e-05,0.003532112898866891,0.003575453898866891,1.4000000000000001,0.0013074538988668912,-0.00020454610113310916,1
1683676800000,1,25,0.0003263960000000001,0.006673199920030992,0.006999595920030992,0.6,0.0060275959200309925,0.005379595920030992,1
1683705600000,1,25,0.00035331100000000003,-0.007486965607169137,-0.007133654607169137,0.9999999999999999,-0.008753654607169136,-0.009833654607169137,1
1683734400000,1,25,0.00011050200000000001,0.005724649717822406,0.005835151717822406,1.4000000000000004,0.0035671517178224054,0.0020551517178224047,1
1683763200000,1,25,3.3909000000000003e-05,0.002883169136020235,0.002917078136020235,1.6000000000000003,0.0003250781360202345,-0.0014029218639797659,1
1683792000000,1,25,0.00010616500000000001,0.0009217130269947082,0.0010278780269947082,0.8,-0.00026812197300529186,-0.0011321219730052918,1
1683820800000,1,25,4.2782e-05,-0.008075597413935659,-0.008032815413935659,1.4000000000000004,-0.01030081541393566,-0.011812815413935661,1
1683849600000,1,25,6.427100000000001e-05,0.017909628815132538,0.01797389981513254,0.9999999999999999,0.01635389981513254,0.01527389981513254,1
1683878400000,1,25,8.8131e-05,0.019148640088357285,0.019236771088357286,0.7999999999999999,0.017940771088357288,0.017076771088357288,1
1683907200000,1,25,5.5534e-05,-0.002364654964030843,-0.002309120964030843,0.7999999999999999,-0.003605120964030843,-0.004469120964030843,1
1683936000000,1,25,0.000271195,0.039047025016897496,0.0393182200168975,0.7999999999999999,0.0380222200168975,0.037158220016897496,1
1683964800000,1,25,0.000181882,-0.0004930471567035855,-0.0003111651567035855,0.6,-0.0012831651567035854,-0.0019311651567035857,1
1683993600000,1,25,0.00034088900000000004,0.019077753412284557,0.019418642412284557,0.7999999999999999,0.01812264241228456,0.01725864241228456,1
1684022400000,1,25,0.00025990900000000006,-0.003976438589463095,-0.003716529589463095,0.4,-0.004364529589463095,-0.004796529589463095,1
1684051200000,1,25,0.00030608200000000006,0.003238142259618516,0.0035442242596185163,0.6,0.0025722242596185165,0.0019242242596185161,1
1684080000000,1,25,0.00016863799999999998,-0.014955016316323922,-0.014786378316323921,0.6,-0.015758378316323922,-0.01640637831632392,1
1684108800000,1,25,0.0001755,-0.0024450701512912744,-0.0022695701512912745,0.7999999999999999,-0.0035655701512912743,-0.0044295701512912745,1
1684137600000,1,25,0.00014593600000000002,-0.0008021868530078582,-0.0006562508530078582,1.0,-0.002276250853007858,-0.003356250853007858,1
1684166400000,1,25,0.000104625,-0.001217332478477995,-0.0011127074784779952,1.4000000000000001,-0.0033807074784779952,-0.0048927074784779956,1
1684195200000,1,25,0.000162141,0.00932973137675487,0.009491872376754869,0.9999999999999999,0.007871872376754869,0.0067918723767548695,1
1684224000000,1,25,0.000159175,-0.011016402795952939,-0.01085722779595294,1.4000000000000001,-0.013125227795952939,-0.01463722779595294,1
1684252800000,1,25,0.00013602200000000002,-0.002195482946020955,-0.002059460946020955,1.2,-0.004003460946020955,-0.005299460946020955,1
1684281600000,1,25,0.00010171600000000001,9.092646401317485e-05,0.00019264246401317486,1.2,-0.0017513575359868248,-0.0030473575359868253,1
1684310400000,1,25,5.9187999999999996e-05,-0.006983061675531921,-0.006923873675531921,1.2,-0.00886787367553192,-0.01016387367553192,1
1684339200000,1,25,6.0413e-05,-0.009598894477362074,-0.009538481477362073,0.9999999999999999,-0.011158481477362073,-0.012238481477362072,1
1684368000000,1,25,3.9836e-05,-0.0037545377838333997,-0.0037147017838333996,0.7999999999999999,-0.0050107017838333994,-0.0058747017838334,1
1684396800000,1,25,5.8855999999999993e-05,0.002757463177623143,0.002816319177623143,0.9999999999999999,0.0011963191776231433,0.00011631917762314333,1
1684425600000,1,25,0.00010548,0.003236417140960946,0.003341897140960946,1.2,0.0013978971409609462,0.0001018971409609457,1
1684454400000,1,25,7.842500000000001e-05,0.004186546335040776,0.004264971335040776,1.4000000000000001,0.0019969713350407757,0.00048497133504077534,1
1684483200000,1,25,7.212199999999998e-05,0.002977332118125253,0.003049454118125253,1.2,0.0011054541181252534,-0.00019054588187474714,1
