label,c0,c1,c2
dStable vs alt 当日,+0.054 (1620),+0.049 (715),+0.057 (905)
dStable vs alt 次日,+0.019 (1620),-0.041 (715),+0.055 (905)
dStable vs btc 当日,+0.056 (1627),+0.060 (715),+0.053 (912)
dStable vs btc 次日,+0.033 (1628),+0.015 (716),+0.047 (912)
dStable30 vs alt 次日,+0.031 (1620),+0.032 (715),+0.029 (905)
dStable30 vs btc 次日,+0.029 (1628),+0.052 (716),+0.011 (912)
