,n,mean,excess,ci_lo,ci_hi,ex168,verdict
扩张,964,1.279208601276905,1.0671206277034764,0.4883580127020127,1.6577600132880217,1.642071257108177,GO_LONG
持平,50,3.0058381828348963,2.793750209261468,1.0402605876003002,4.565791976010677,4.935499489657824,GO_LONG
收缩,334,1.1542063227464905,0.9421183491730618,0.08214346904502354,1.9056668873766305,1.8445834509200525,GO_LONG
扩张−收缩,964/334,,0.12500227853041457,-0.9085152038057861,1.1369470193653346,,
