symbol,cg_n,cg_min,cg_max,bn_raw_n,bn_raw_min,bn_raw_max,bn_hist_n,bn_hist_min,bn_hist_max,fund_n,fund_min,fund_max,cg_to_raw_gap_days,hist_covers_cg_end
INTCUSDT,3373,2026-02-02,2026-06-23,4580,2026-02-02,2026-08-12,4580,2026-02-02,2026-08-12,574,2026-02-02,2026-08-12,-140.5,True
KITEUSDT,5681,2025-10-29,2026-06-23,6888,2025-10-29,2026-08-12,6888,2025-10-29,2026-08-12,1721,2025-10-29,2026-08-12,-236.67,True
LABUSDT,5965,2025-10-17,2026-06-23,7172,2025-10-17,2026-08-12,7172,2025-10-17,2026-08-12,2181,2025-10-17,2026-08-12,-248.5,True
LDOUSDT,33039,2022-09-22,2026-07-07,34078,2022-09-22,2026-08-12,34078,2022-09-22,2026-08-12,4261,2022-09-22,2026-08-12,-1383.62,True
LINKUSDT,39395,2021-12-31,2026-07-07,57578,2020-01-17,2026-08-12,57578,2020-01-17,2026-08-12,5054,2022-01-01,2026-08-12,-2362.79,True
LTCUSDT,39395,2021-12-31,2026-07-07,57770,2020-01-09,2026-08-12,57770,2020-01-09,2026-08-12,5054,2022-01-01,2026-08-12,-2370.79,True
MONUSDT,6140,2025-10-10,2026-06-23,7347,2025-10-10,2026-08-12,7347,2025-10-10,2026-08-12,1836,2025-10-10,2026-08-12,-255.79,True
MUSDT,8418,2025-07-07,2026-06-23,9625,2025-07-07,2026-08-12,9625,2025-07-07,2026-08-12,3335,2025-07-07,2026-08-12,-350.71,True
MUUSDT,1838,2026-04-07,2026-06-23,3045,2026-04-07,2026-08-12,3045,2026-04-07,2026-08-12,387,2026-04-07,2026-08-12,-76.54,True
NEARUSDT,39395,2021-12-31,2026-07-07,0,-,-,0,-,-,0,-,-,,False
NVDAUSDT,2125,2026-03-26,2026-06-23,3332,2026-03-26,2026-08-12,3332,2026-03-26,2026-08-12,430,2026-03-25,2026-08-12,-88.5,True
