symbol,timestamp,feature,feature_value,ret_24h_at_event,episode,ret_4h,ret_24h,ret_72h,ret_168h,mfe_pct,mae_pct
DOGEUSDT,1642914000000,funding_reset,-0.00022543,2.579262434409868,?,1.9668587896253475,-1.5057636887608083,4.77665706051873,2.780979827089336,8.595100864553306,-8.49423631123919
DOGEUSDT,1643896800000,funding_reset,-0.00021828,-2.9694509720145312,?,-0.014677821811237557,2.282401291648317,6.876559518567449,13.40819022457067,23.447820343461046,-0.5797739615440944
DOGEUSDT,1645743600000,funding_reset,-0.00046992,-2.6011787819253507,?,-0.3227368081329618,2.86428917218009,-0.9036630627723086,4.526383734064865,10.012909472325315,-1.8799419073745383
DOGEUSDT,1652371200000,funding_reset,-0.00136242,-0.8182748039549881,2022磨底+FTX底,-7.528360261258172,1.4323364271800143,2.57820556892403,-0.7677323249684953,6.806462701959437,-7.528360261258172
DOGEUSDT,1652691600000,funding_reset,-0.00023712,-1.7354809437386653,2022磨底+FTX底,-0.08080341683019965,4.109430913078627,-3.9593674246796717,0.6348839893801195,4.3287544730463035,-5.055985224518055
DOGEUSDT,1653354000000,funding_reset,-0.00022276,-2.112018669778293,2022磨底+FTX底,-0.15496483490285984,-0.631779711527003,-8.046251043032548,3.599952318512334,4.839670997735124,-8.225056621766601
DOGEUSDT,1655046000000,funding_reset,-0.0003303,-2.503255679351768,2022磨底+FTX底,-1.5583259127337379,-19.278717720391803,-19.174829326209554,-13.000890471950132,0.7717423567824344,-25.586227367171265
DOGEUSDT,1655618400000,funding_reset,-0.00021773,2.5976418570375914,2022磨底+FTX底,4.704614832106291,4.848267193391975,12.120667983479972,23.36146525408511,23.39737834440654,0.0
DOGEUSDT,1657677600000,funding_reset,-0.00023751,-2.9647435897435903,2022磨底+FTX底,0.5119735755573895,1.2716763005780285,3.038810900082578,14.120561519405438,15.111478117258459,-3.484723369116438
DOGEUSDT,1661904000000,funding_reset,-0.00020424,-2.83610153556878,2022磨底+FTX底,1.5320109659732184,-1.1611030478955064,-0.5805515239477477,-5.273343009192066,3.709079180777297,-5.273343009192066
DOGEUSDT,1688022000000,funding_reset,-0.00032377,-1.8888541991882613,2023平台蓄力,1.638822593476541,3.898170246618915,7.000795544948302,7.732696897374702,13.842482100238662,0.0
WLDUSDT,1691856000000,funding_reset,-0.00037121,4.75261571200567,2023平台蓄力,-1.1568195925737768,2.499858924439935,-2.539360081259523,-15.010439591445179,2.550646126065126,-25.111449692455277
WLDUSDT,1692403200000,funding_reset,-0.00033439,10.919624523320625,2023平台蓄力,-0.5685950413223062,-1.1900826446280988,-2.2809917355371856,-16.94545454545454,1.229752066115708,-17.37520661157025
WLDUSDT,1692691200000,funding_reset,-0.00025633,3.5642326130757906,2023平台蓄力,-1.241110962028713,-7.446665772172278,-11.216959613578425,-22.521132429893996,0.0,-22.521132429893996
WLDUSDT,1693324800000,funding_reset,-0.00041739,-1.860313315926887,2023平台蓄力,5.19620884602594,0.4073827735284308,-7.008646491519787,-11.464915197871639,10.234452943132698,-14.615896242101778
WLDUSDT,1694044800000,funding_reset,-0.0004822,23.966165413533822,2023平台蓄力,2.001516300227446,-5.724033358604997,-11.031084154662619,-21.000758150113718,3.821076573161486,-25.88324488248672
WLDUSDT,1694851200000,funding_reset,-0.00030989,31.245988814522786,2023平台蓄力,1.8791477471183926,-4.205378973105134,-2.500873209919674,9.752008382815225,15.117010129235053,-13.412504366049593
WLDUSDT,1695225600000,funding_reset,-0.00028912,11.80128822092248,2023平台蓄力,-0.582742864710939,-4.330839017283616,2.0197337924640735,13.277266406198262,15.98569631150255,-8.708032580623792
WLDUSDT,1695484800000,funding_reset,-0.00021084,-1.123162826519486,2023平台蓄力,-1.0645203167596984,3.3168895235622387,11.183954303518128,12.222510710112955,22.31598078670649,-2.7132286122290017
WLDUSDT,1695772800000,funding_reset,-0.00028223,-1.0902797807903153,2023平台蓄力,-0.10498075352850522,5.307360317275167,2.0237956374664856,-12.29441269100664,9.903184416190381,-12.29441269100664
WLDUSDT,1696032000000,funding_reset,-0.0002409,-2.208184257602852,2023平台蓄力,0.4516092151146234,-3.790087463556857,-5.607957468701774,-5.019150517349802,2.8754358886411646,-14.37146287086264
WLDUSDT,1696338000000,funding_reset,-0.00030577,-2.5232641374373532,2023平台蓄力,-1.211676152010288,-8.334863227464663,-4.785508842788078,-6.988556391897682,2.0133406768251483,-8.334863227464663
WLDUSDT,1696597200000,funding_reset,-0.00021267,-0.8033152693656342,2023平台蓄力,6.1893437881611835,4.537566681663341,-2.172376116717012,-5.3152516228549445,7.140561732759165,-7.905392377402142
WLDUSDT,1696870800000,funding_reset,-0.00022134,-2.272438745715366,2023平台蓄力,0.2663029358274782,-1.47440893738634,-4.734996102883882,3.630813198233307,6.748506105481944,-6.930371525071443
WLDUSDT,1697191200000,funding_reset,-0.00031847,-0.9041835357624928,2023平台蓄力,0.35407871442190153,0.38131553860820677,6.625357483317451,3.6361160288710392,12.746833719188345,-2.6623995642108045
WLDUSDT,1697472000000,funding_reset,-0.00033063,5.662882559915028,2023平台蓄力,1.6838401608444409,3.4053782357376328,-8.368936918823822,-3.3613973360140714,7.156320683588846,-10.184719778838902
WLDUSDT,1697742000000,funding_reset,-0.00020726,-2.454521134296428,2023平台蓄力,-0.4730887898525826,4.264655467946521,9.866300994172095,24.998285910181693,25.368529310935894,-0.6239286938635513
WLDUSDT,1720252800000,funding_reset,-0.00033776,3.333708117832246,2024崩→恢复,4.477449540286171,3.6722702790925377,3.068385833197329,-2.203362167455525,10.875360426527369,-5.266307600239372
