date,asset,FlowInExNtv,FlowInExNtv-status,FlowInExNtv-status-time,FlowInExUSD,FlowInExUSD-status,FlowInExUSD-status-time,FlowOutExNtv,FlowOutExNtv-status,FlowOutExNtv-status-time,FlowOutExUSD,FlowOutExUSD-status,FlowOutExUSD-status-time,SplyExNtv,SplyExNtv-status,SplyExNtv-status-time,SplyExUSD,SplyExUSD-status,SplyExUSD-status-time,fetched_at
2011-05-09,btc,41.0,flash,2026-04-02T16:57:26.488712000Z,155.96767286674452,flash,2026-04-02T16:57:27.428808000Z,0.0,flash,2026-04-02T16:57:21.475568000Z,0.0,flash,2026-04-02T16:57:27.386202000Z,191.0,flash,2026-04-02T16:57:21.255803000Z,726.5811101841026,flash,2026-04-02T16:57:27.358274000Z,2026-08-07 05:31:50 UTC
2011-05-10,btc,22.826,flash,2026-04-02T16:57:35.362133000Z,129.00495099536283,flash,2026-04-02T16:57:36.231800000Z,0.0,flash,2026-04-02T16:57:30.316390000Z,0.0,flash,2026-04-02T16:57:36.175247000Z,213.826,flash,2026-04-02T16:57:30.132025000Z,1208.4733484418844,flash,2026-04-02T16:57:36.139870000Z,2026-08-07 05:31:50 UTC
2011-05-11,btc,55.14,flash,2026-04-02T16:57:44.308786000Z,299.9478725570078,flash,2026-04-02T16:57:45.219104000Z,12.91,flash,2026-04-02T16:57:38.984742000Z,70.2271859758972,flash,2026-04-02T16:57:45.175112000Z,256.056,flash,2026-04-02T16:57:38.760748000Z,1392.8808932799639,flash,2026-04-02T16:57:45.130387000Z,2026-08-07 05:31:50 UTC
2011-05-12,btc,1.37,flash,2026-04-02T16:57:52.832509000Z,8.678783811233195,flash,2026-04-02T16:57:53.830693000Z,0.0,flash,2026-04-02T16:57:48.112307000Z,0.0,flash,2026-04-02T16:57:53.788731000Z,257.426,flash,2026-04-02T16:57:47.796693000Z,1630.7624827668003,flash,2026-04-02T16:57:53.737892000Z,2026-08-07 05:31:50 UTC
2011-05-13,btc,26.31,flash,2026-04-02T16:58:01.713934000Z,214.1380073594273,flash,2026-04-02T16:58:02.788115000Z,49.9,flash,2026-04-02T16:57:56.657804000Z,406.1378398797196,flash,2026-04-02T16:58:02.745314000Z,233.836,flash,2026-04-02T16:57:56.242477000Z,1903.199357236756,flash,2026-04-02T16:58:02.713094000Z,2026-08-07 05:31:50 UTC
2011-05-14,btc,17.39,flash,2026-04-02T16:58:11.195447000Z,121.85597019221512,flash,2026-04-02T16:58:12.059077000Z,9.22,flash,2026-04-02T16:58:05.756763000Z,64.60678810651083,flash,2026-04-02T16:58:12.018868000Z,242.006,flash,2026-04-02T16:58:05.370615000Z,1695.795050163152,flash,2026-04-02T16:58:11.990546000Z,2026-08-07 05:31:50 UTC
2011-05-15,btc,21.01,flash,2026-04-02T16:58:20.818251000Z,145.49267098368793,flash,2026-04-02T16:58:21.794608000Z,121.95,flash,2026-04-02T16:58:14.991213000Z,844.494584791087,flash,2026-04-02T16:58:21.757818000Z,141.066,flash,2026-04-02T16:58:14.616028000Z,976.8714481192251,flash,2026-04-02T16:58:21.725991000Z,2026-08-07 05:31:50 UTC
2011-05-16,btc,3.27,flash,2026-04-02T16:58:30.605407000Z,25.784410236732914,flash,2026-04-02T16:58:31.787653000Z,4.28,flash,2026-04-02T16:58:24.843272000Z,33.74840238936295,flash,2026-04-02T16:58:31.747699000Z,140.056,flash,2026-04-02T16:58:24.436452000Z,1104.3612722066864,flash,2026-04-02T16:58:31.714329000Z,2026-08-07 05:31:50 UTC
2011-05-17,btc,41.51,flash,2026-04-02T16:58:41.027547000Z,301.2463529311163,flash,2026-04-02T16:58:41.949316000Z,10.51,flash,2026-04-02T16:58:34.912737000Z,76.27316717191115,flash,2026-04-02T16:58:41.910496000Z,171.056,flash,2026-04-02T16:58:34.479596000Z,1241.3875246202126,flash,2026-04-02T16:58:41.878304000Z,2026-08-07 05:31:50 UTC
2011-05-18,btc,71.98,flash,2026-04-02T16:58:51.374991000Z,486.81249882275847,flash,2026-04-02T16:58:52.247378000Z,57.06,flash,2026-04-02T16:58:45.248155000Z,385.9061014563295,flash,2026-04-02T16:58:52.203994000Z,185.976,flash,2026-04-02T16:58:44.774831000Z,1257.7860694784847,flash,2026-04-02T16:58:52.172766000Z,2026-08-07 05:31:50 UTC
2011-05-19,btc,46.97,flash,2026-04-02T16:59:01.002730000Z,323.6300464128289,flash,2026-04-02T16:59:02.102664000Z,54.98,flash,2026-04-02T16:58:55.530652000Z,378.82009690818256,flash,2026-04-02T16:59:02.055436000Z,177.966,flash,2026-04-02T16:58:55.113935000Z,1226.211301679913,flash,2026-04-02T16:59:02.019002000Z,2026-08-07 05:31:50 UTC
2011-05-20,btc,193.5,flash,2026-04-02T16:59:11.543201000Z,1087.1016182963174,flash,2026-04-02T16:59:12.470417000Z,151.45,flash,2026-04-02T16:59:05.623362000Z,850.8606723047922,flash,2026-04-02T16:59:12.386996000Z,220.016,flash,2026-04-02T16:59:05.132051000Z,1236.0710576283336,flash,2026-04-02T16:59:12.337862000Z,2026-08-07 05:31:50 UTC
2011-05-21,btc,74.83,flash,2026-04-02T16:59:21.681121000Z,455.3256339449797,flash,2026-04-02T16:59:22.760335000Z,15.96,flash,2026-04-02T16:59:16.048029000Z,97.1134186524372,flash,2026-04-02T16:59:22.717729000Z,278.886,flash,2026-04-02T16:59:15.538086000Z,1696.9657189413283,flash,2026-04-02T16:59:22.652619000Z,2026-08-07 05:31:50 UTC
2011-05-22,btc,71.54,flash,2026-04-02T16:59:29.065606000Z,480.1733350832028,flash,2026-04-02T16:59:30.205526000Z,78.02,flash,2026-04-02T16:59:26.524411000Z,523.6668102207364,flash,2026-04-02T16:59:30.154777000Z,272.406,flash,2026-04-02T16:59:25.979576000Z,1828.377096962188,flash,2026-04-02T16:59:30.075663000Z,2026-08-07 05:31:50 UTC
2011-05-23,btc,47.16,flash,2026-04-02T16:59:40.640545000Z,333.1975099217533,flash,2026-04-02T16:59:41.692143000Z,85.46,flash,2026-04-02T16:59:33.982678000Z,603.7968447394621,flash,2026-04-02T16:59:41.581798000Z,234.106,flash,2026-04-02T16:59:33.413346000Z,1654.01900461709,flash,2026-04-02T16:59:41.537719000Z,2026-08-07 05:31:50 UTC
2011-05-24,btc,37.6,flash,2026-04-02T16:59:52.290024000Z,278.34003788755143,flash,2026-04-02T16:59:53.295625000Z,39.45,flash,2026-04-02T16:59:45.539117000Z,292.03495996446554,flash,2026-04-02T16:59:53.260496000Z,232.256,flash,2026-04-02T16:59:44.956814000Z,1719.3123361598707,flash,2026-04-02T16:59:53.227441000Z,2026-08-07 05:31:50 UTC
2011-05-25,btc,92.65,flash,2026-04-02T17:00:05.629973000Z,793.9446848730864,flash,2026-04-02T17:00:06.751424000Z,132.04,flash,2026-04-02T16:59:57.479323000Z,1131.4890036766576,flash,2026-04-02T17:00:06.704043000Z,192.866,flash,2026-04-02T16:59:56.822696000Z,1652.724615140126,flash,2026-04-02T17:00:06.669562000Z,2026-08-07 05:31:50 UTC
2011-05-26,btc,44.44,flash,2026-04-02T17:00:19.066729000Z,390.2789874980247,flash,2026-04-02T17:00:20.092115000Z,236.97,flash,2026-04-02T17:00:10.930725000Z,2081.1073732539808,flash,2026-04-02T17:00:20.029806000Z,0.336,flash,2026-04-02T17:00:10.269500000Z,2.950804225907657,flash,2026-04-02T17:00:19.966493000Z,2026-08-07 05:31:50 UTC
2011-05-27,btc,344.57,flash,2026-04-02T17:00:31.580699000Z,2938.719848369508,flash,2026-04-02T17:00:32.814069000Z,42.72,flash,2026-04-02T17:00:23.606290000Z,364.34428975925186,flash,2026-04-02T17:00:32.687384000Z,302.186,flash,2026-04-02T17:00:23.108041000Z,2577.2411878555536,flash,2026-04-02T17:00:32.656675000Z,2026-08-07 05:31:50 UTC
2011-05-28,btc,145.86,flash,2026-04-02T17:00:43.921644000Z,1217.8243938159212,flash,2026-04-02T17:00:44.874991000Z,207.03,flash,2026-04-02T17:00:36.480638000Z,1728.5491858748812,flash,2026-04-02T17:00:44.826321000Z,241.016,flash,2026-04-02T17:00:35.974658000Z,2012.3074461808449,flash,2026-04-02T17:00:44.755434000Z,2026-08-07 05:31:50 UTC
2011-05-29,btc,22.0,flash,2026-04-02T17:00:56.417101000Z,184.82097638924608,flash,2026-04-02T17:00:57.630590000Z,157.18,flash,2026-04-02T17:00:48.546470000Z,1320.4618667664413,flash,2026-04-02T17:00:57.586518000Z,105.836,flash,2026-04-02T17:00:48.052372000Z,889.1233116878296,flash,2026-04-02T17:00:57.546499000Z,2026-08-07 05:31:50 UTC
2011-05-30,btc,20.11,flash,2026-04-02T17:01:09.825168000Z,176.55257696392167,flash,2026-04-02T17:01:10.928713000Z,16.96,flash,2026-04-02T17:01:01.547305000Z,148.89764820030388,flash,2026-04-02T17:01:10.873939000Z,108.986,flash,2026-04-02T17:01:00.961964000Z,956.825417851316,flash,2026-04-02T17:01:10.838573000Z,2026-08-07 05:31:50 UTC
2011-05-31,btc,157.31,flash,2026-04-02T17:01:17.532867000Z,1371.991186940958,flash,2026-04-02T17:01:18.588670000Z,164.9,flash,2026-04-02T17:01:14.783789000Z,1438.1879519837516,flash,2026-04-02T17:01:18.524692000Z,101.396,flash,2026-04-02T17:01:14.154022000Z,884.3329628826227,flash,2026-04-02T17:01:18.446953000Z,2026-08-07 05:31:50 UTC
2011-06-01,btc,24.87,flash,2026-04-02T17:01:31.721715000Z,239.3433397605376,flash,2026-04-02T17:01:32.773909000Z,126.2,flash,2026-04-02T17:01:22.207111000Z,1214.52068668194,flash,2026-04-02T17:01:32.733405000Z,0.066,flash,2026-04-02T17:01:21.345411000Z,0.6351692973138513,flash,2026-04-02T17:01:32.698343000Z,2026-08-07 05:31:50 UTC
2011-06-02,btc,17.81,flash,2026-04-02T17:01:46.567376000Z,190.61615965955616,flash,2026-04-02T17:01:47.623316000Z,15.72,flash,2026-04-02T17:01:37.319165000Z,168.24739078316807,flash,2026-04-02T17:01:47.581576000Z,2.156,flash,2026-04-02T17:01:36.607435000Z,23.07515105143196,flash,2026-04-02T17:01:47.549864000Z,2026-08-07 05:31:50 UTC
2011-06-03,btc,112.78,flash,2026-04-02T17:02:02.927973000Z,1608.7668631510248,flash,2026-04-02T17:02:04.072799000Z,111.83,flash,2026-04-02T17:01:52.277288000Z,1595.2154487158991,flash,2026-04-02T17:02:04.033572000Z,3.106,flash,2026-04-02T17:01:51.390606000Z,44.30599287947405,flash,2026-04-02T17:02:03.986126000Z,2026-08-07 05:31:50 UTC
2011-06-04,btc,53.02407407,flash,2026-04-02T17:02:18.424454000Z,971.0160146262176,flash,2026-04-02T17:02:19.553396000Z,56.05007407,flash,2026-04-02T17:02:07.878784000Z,1026.4303620107648,flash,2026-04-02T17:02:19.502322000Z,0.08,flash,2026-04-02T17:02:07.351741000Z,1.465019098071304,flash,2026-04-02T17:02:19.462535000Z,2026-08-07 05:31:50 UTC
