schema_version,alert_id,trigger,symbol,timestamp_ms,feature_value,direction,regime,regime_status,market_cap_usd,mc_suspicious,oi_to_mc_ratio,identity_gate_status,source,notes,timestamp,ret_4h,ret_24h,ret_72h,ret_168h,mfe_pct,mae_pct,liquidity_24h_usd,liquidity_ok,timestamp_new,mfe_pct_new,mae_pct_new,vix_status,vix_close,vix_q75,vix_gate_ok
v1,cvd_bear_divergence_ONDOUSDT_1786010400000,cvd_bear_divergence,ONDOUSDT,1786010400000,2.43911700386377,Long,default,SP500_STALE since 2026-06-26,1804828562.0,False,0.0208904527898312,VERIFIED,CVD_APPROX,前向影子（binance_free_db）；CVD 为 klines taker 近似,1786010400000,0.3521126760563486,-5.119176598049835,,,,,,,1786010400000.0,0.5958829902491969,-5.877573131094261,,,,
v1,cvd_bear_divergence_ADAUSDT_1786010400000,cvd_bear_divergence,ADAUSDT,1786010400000,2.367763282442652,Long,default,SP500_STALE since 2026-06-26,7083735283.0,False,0.0147507346323291,VERIFIED,CVD_APPROX,前向影子（binance_free_db）；CVD 为 klines taker 近似,1786010400000,6.4859117490696505,7.23019670388092,,,,,,,1786010400000.0,11.057947900053168,0.0,,,,
v1,cvd_bear_divergence_ONDOUSDT_1786053600000,cvd_bear_divergence,ONDOUSDT,1786053600000,2.3333311015209715,Long,default,OK,1748358889.0,False,0.0204775174405396,VERIFIED,CVD_APPROX,前向影子（binance_free_db）；CVD 为 klines taker 近似,1786053600000,-2.405308266519224,,,,,,34309183.65124,True,1786053600000.0,0.0,-3.925905446502642,,,,
v1,cvd_bear_divergence_ONDOUSDT_1786064400000,cvd_bear_divergence,ONDOUSDT,1786064400000,2.166460695266088,Long,default,OK,1719207437.0,False,0.0206506068776737,VERIFIED,CVD_APPROX,前向影子（binance_free_db）；CVD 为 klines taker 近似,1786064400000,-2.551878855860912,,,,0.0,-2.551878855860912,38107286.45186,True,,,,low,15.81,20.38,True
v1,cvd_bear_divergence_ONDOUSDT_1786096800000,cvd_bear_divergence,ONDOUSDT,1786096800000,2.098028045019739,Long,default,OK,1717604263.0,False,0.0215089241791126,VERIFIED,CVD_APPROX,前向影子（binance_free_db）；CVD 为 klines taker 近似,1786096800000,-0.0285469597487875,,,,0.7422209534684532,-1.7128175849272065,51495994.44163,True,,,,low,15.81,20.38,True
v1,cvd_bear_divergence_SKYAIUSDT_1786222800000,cvd_bear_divergence,SKYAIUSDT,1786222800000,3.7458809617459066,Long,default,OK,116923553.0,False,0.1396026592915364,VERIFIED,CVD_APPROX,前向影子（binance_free_db）；CVD 为 klines taker 近似,1786222800000,5.8396101019051905,,,,5.8396101019051905,0.0,78037923.72538999,True,,,,low,15.15,20.29,True
v1,cvd_bear_divergence_RIVERUSDT_1786222800000,cvd_bear_divergence,RIVERUSDT,1786222800000,2.133126660496374,Long,default,OK,55269034.0,False,0.1317607352572871,VERIFIED,CVD_APPROX,前向影子（binance_free_db）；CVD 为 klines taker 近似,1786222800000,-0.7609823590453035,,,,0.0,-1.5911449325492821,14136110.0393,True,,,,low,15.15,20.29,True
