schema_version,run_id,record_id,scan_time_utc,symbol,rank,turnover_24h_usd,history_tier,eligible_for_paper,trigger_reason,trigger_metric,trigger_value,trigger_quantile,large_move_flag_24h,abs_move_pct_24h,excess_move_pct_24h,funding_sign,funding_rate_8h,oi_change_pct_24h,is_top_candidate,decision,direction,direction_sign,testable_hypothesis,falsified,entry_price_ref,exit_price_ref_4h,exit_price_ref_24h,exit_price_ref_72h,exit_price_ref_7d,btc_entry_price,btc_exit_price_4h,btc_exit_price_24h,btc_exit_price_72h,btc_exit_price_7d,dir_excess_ret_4h,dir_excess_ret_24h,dir_excess_ret_72h,dir_excess_ret_7d,friction_bps_roundtrip,funding_cost_component,dir_excess_ret_net_4h,dir_excess_ret_net_24h,dir_excess_ret_net_72h,dir_excess_ret_net_7d,red_team_ref,decision_time_utc,notes
v1,20260511_1200_utc_replay,20260511_1200_utc_replay_0014,2026-05-11T12:00:00+00:00,SKYAIUSDT,64,104154307.76,Full,Yes,large_move_abs|large_move_excess,vol_24h,0.0217115617839841,0.6779026217228464,True,-24.01374694763497,-24.49033767751202,positive,0.00053929,,True,Paper Trade,Short,-1.0,,,0.4201,0.37986,0.56409,0.39506,0.31241,81167.1,,,,,0.09869799553996561,-0.34798044529770633,0.03557541548676264,0.2081468597410852,31.0,,0.0958676405399656,-0.3494625752977063,0.037329025486762646,0.21637194974108523,G:\Quant test\AlphaHive_V3\reports\red_team_decisions_pending_top_20260708.md,2026-07-09T00:32:45.799722+00:00,"red_team_decision=Paper Trade; confidence=High; reason=Large excess (-24.5%) on a well-traded token with $104M turnover. Quantile 0.678 is moderate but the magnitude of excess is significant. SKYAI has appeared in multiple runs.; human_check=Verify SKYAIUSDT move wasn't driven by a single large order; check if this is a breakout or breakdown pattern; veto_flags=none; virtual_paper_direction=Short; rule=negative_excess_momentum; basis=-24.49pct excess, 104M turnover; no future-return input"
v1,20260511_1200_utc_replay,20260511_1200_utc_replay_0017,2026-05-11T12:00:00+00:00,VVVUSDT,38,160927665.64,Full,Yes,large_move_abs|large_move_excess,vol_24h,0.0191157762929925,0.6970973782771536,True,17.02310231023101,16.546511580353965,positive,0.0001424699999999,,True,Paper Trade,Long,1.0,,,17.732,16.767,17.05,13.958,14.171,81167.1,,,,,-0.05733266315828534,-0.0332328189434084,-0.18880611104532186,-0.1526265022354094,31.0,,-0.06050389815828529,-0.036760228943408094,-0.19318834104532095,-0.1587183722354073,G:\Quant test\AlphaHive_V3\reports\red_team_decisions_pending_top_20260708.md,2026-07-09T00:32:45.799722+00:00,"red_team_decision=Paper Trade; confidence=High; reason=Strong excess (+16.5%) on $161M turnover. VVV is a mid-cap token with decent liquidity. Quantile 0.697 is acceptable for the move size.; human_check=Confirm move direction aligns with broader market; check VVV sector momentum; veto_flags=none; virtual_paper_direction=Long; rule=positive_excess_momentum; basis=+16.55pct excess, 161M turnover; no future-return input"
v1,20260511_1200_utc_replay,20260511_1200_utc_replay_0016,2026-05-11T12:00:00+00:00,UBUSDT,18,62652471.76,Full,Yes,large_move_abs|large_move_excess,vol_24h,0.0231748138367478,0.697565543071161,True,12.859824780976204,12.38323405109916,positive,5e-05,,True,Watch,,,,,0.14432,0.15454,0.16477,0.22186,0.15675,81167.1,,,,,0.0,0.0,0.0,0.0,51.0,,0.0,0.0,0.0,0.0,G:\Quant test\AlphaHive_V3\reports\red_team_decisions_pending_top_20260708.md,2026-07-08T07:49:09.630312+00:00,red_team_decision=Watch; confidence=Medium; reason=Reasonable move but UBUSDT is lower-liquidity. The near-zero funding (5e-05) is concerning for directional execution.; human_check=Check UBU order book depth at the time of the move; veto_flags=none
v1,20260511_1200_utc_replay,20260511_1200_utc_replay_0009,2026-05-11T12:00:00+00:00,LABUSDT,31,400797434.43,Full,Yes,large_move_abs|large_move_excess,vol_24h,0.02686964669554,0.6970973782771536,True,-10.529201010239452,-11.0057917401165,positive,5e-05,,True,Paper Trade,Short,-1.0,,,4.5706,4.8903,4.545,5.5917,4.889,81167.1,,,,,-0.06703577481159977,0.000372295665872077,-0.2474355578586785,-0.11785949429382571,31.0,,-0.07011077481159977,-0.002577704334127923,-0.2500855578586785,-0.11990949429382572,G:\Quant test\AlphaHive_V3\reports\red_team_decisions_pending_top_20260708.md,2026-07-09T00:32:45.799722+00:00,red_team_decision=Paper Trade; confidence=Medium; reason=LAB appears again with opposite direction (negative excess). $401M turnover confirms move is real. Quantile moderate but magnitude + turnover justify human review.; human_check=LAB is a recurring symbol — check if direction flip across runs is structural; veto_flags=none; virtual_paper_direction=Short; rule=negative_excess_momentum; basis=-11.01pct excess with high turnover; no future-return input
v1,20260511_1200_utc_replay,20260511_1200_utc_replay_0015,2026-05-11T12:00:00+00:00,SUIUSDT,15,1808112907.53,Full,Yes,vol_quantile_high|large_move_abs|large_move_excess,vol_24h,0.0235088983621663,0.9985955056179776,True,10.74257856707581,10.265987837198765,positive,0.0001,,True,Paper Trade,Long,1.0,,,1.2722,1.2892,1.2672,1.2019,1.0546,81167.1,,,,,0.010451400732345191,0.0012985198639876433,-0.031229166637335506,-0.1228454210054791,31.0,,0.007301400732345191,-0.0021014801360123565,-0.0352291666373355,-0.12804542100547908,G:\Quant test\AlphaHive_V3\reports\red_team_decisions_pending_top_20260708.md,2026-07-09T00:32:45.799722+00:00,"red_team_decision=Paper Trade; confidence=High; reason=Triple-trigger at 99.9th quantile on $1.8B turnover. SUI is a major L1 with deep liquidity. The move is well-confirmed across multiple dimensions.; human_check=Verify SUI ecosystem didn't have a major event; this is a strong candidate; veto_flags=none; virtual_paper_direction=Long; rule=positive_excess_momentum; basis=+10.27pct excess, 99.9pct quantile, 1.8B turnover; no future-return input"
v1,20260511_1200_utc_replay,20260511_1200_utc_replay_0008,2026-05-11T12:00:00+00:00,HUSDT,57,16217837.22,Full,Yes,large_move_abs|large_move_excess,vol_24h,0.009968846747606,0.250936329588015,True,10.47053628379373,9.993945553916683,positive,0.0003537099999999,,False,AutoSkipped,Neutral,0.0,,,0.22515,0.24677,0.27318,0.26101,0.25178,81167.1,,,,,0.0,0.0,0.0,0.0,91.0,,0.0,0.0,0.0,0.0,,,
v1,20260511_1200_utc_replay,20260511_1200_utc_replay_0007,2026-05-11T12:00:00+00:00,FFUSDT,78,21569527.41,Full,Yes,vol_quantile_high|large_move_excess,vol_24h,0.0133138364211401,0.9728464419475656,True,8.15022596228767,7.673635232410624,positive,5e-05,,False,AutoSkipped,Neutral,0.0,,,0.06941,0.0717,0.07623,0.0798,0.09041,81167.1,,,,,0.0,0.0,0.0,0.0,91.0,,0.0,0.0,0.0,0.0,,,
v1,20260511_1200_utc_replay,20260511_1200_utc_replay_0013,2026-05-11T12:00:00+00:00,RAVEUSDT,73,52087020.18,Full,Yes,large_move_excess,vol_24h,0.0146452830830506,0.4396067415730337,True,-7.011463609704071,-7.488054339581118,positive,5e-05,,False,AutoSkipped,Neutral,0.0,,,0.6975,0.6947,0.6835,0.6599,0.5759,81167.1,,,,,0.0,0.0,0.0,0.0,51.0,,0.0,0.0,0.0,0.0,,,
v1,20260511_1200_utc_replay,20260511_1200_utc_replay_0018,2026-05-11T12:00:00+00:00,WLDUSDT,11,170422154.89,Full,Yes,vol_quantile_high,vol_24h,0.0168515663857649,0.9864232209737828,False,3.9896564462504447,3.513065716373398,negative,-0.0001581199999999,,False,AutoSkipped,Neutral,0.0,,,0.2816,0.2811,0.2701,0.2571,0.2363,81167.1,,,,,0.0,0.0,0.0,0.0,31.0,,0.0,0.0,0.0,0.0,,,
v1,20260511_1200_utc_replay,20260511_1200_utc_replay_0011,2026-05-11T12:00:00+00:00,MUUSDT,40,94424803.64,Partial,No,vol_quantile_high,vol_24h,0.0135846960627372,0.9367888748419722,False,3.8564056775955535,3.379814947718507,positive,0.0008742,,False,AutoSkipped,Neutral,0.0,,,790.96,795.74,774.7,792.67,753.45,81167.1,,,,,0.0,0.0,0.0,0.0,51.0,,0.0,0.0,0.0,0.0,,,
