open_time,open,high,low,close,volume,quote_volume,datetime_utc
1781308800000,63547.0,63625.2,63480.0,63573.9,1951.164,124001300.6772,2026-06-13 00:00:00+00:00
1781312400000,63573.9,63828.4,63573.9,63801.0,2669.191,170018031.253,2026-06-13 01:00:00+00:00
1781316000000,63801.1,63806.9,63517.8,63612.0,2457.955,156496682.7981,2026-06-13 02:00:00+00:00
1781319600000,63612.1,63695.0,63360.0,63494.4,3026.794,192233518.2374,2026-06-13 03:00:00+00:00
1781323200000,63494.4,63619.1,63444.9,63475.2,1293.536,82179181.9818,2026-06-13 04:00:00+00:00
1781326800000,63475.2,63564.8,63456.0,63554.9,1208.298,76755171.5695,2026-06-13 05:00:00+00:00
1781330400000,63554.9,63720.2,63516.3,63707.2,1642.636,104515139.0675,2026-06-13 06:00:00+00:00
1781334000000,63707.2,63879.0,63637.1,63823.9,4873.909,310865437.4614,2026-06-13 07:00:00+00:00
1781337600000,63823.9,63896.5,63729.8,63771.6,3461.243,220840142.9017,2026-06-13 08:00:00+00:00
1781341200000,63771.5,63833.0,63708.2,63709.9,1419.807,90540292.0696,2026-06-13 09:00:00+00:00
1781344800000,63709.9,63883.2,63683.1,63812.9,2679.471,170938602.3844,2026-06-13 10:00:00+00:00
1781348400000,63813.0,63949.9,63809.4,63936.1,2414.403,154277062.1935,2026-06-13 11:00:00+00:00
1781352000000,63936.1,64187.7,63882.6,64103.1,4756.321,304518167.3736,2026-06-13 12:00:00+00:00
1781355600000,64103.0,64217.0,64026.6,64071.0,4732.652,303476005.3878,2026-06-13 13:00:00+00:00
1781359200000,64071.0,64208.8,64052.3,64189.7,2178.915,139748102.8306,2026-06-13 14:00:00+00:00
1781362800000,64189.8,64323.0,64147.2,64265.0,4558.288,292853057.1994,2026-06-13 15:00:00+00:00
1781366400000,64265.1,64280.0,63862.9,63996.2,8214.293,525922937.5722,2026-06-13 16:00:00+00:00
1781370000000,63996.1,64090.1,63902.0,63939.7,2988.244,191231049.7461,2026-06-13 17:00:00+00:00
1781373600000,63939.7,64247.8,63939.6,64122.7,3116.164,199745579.0383,2026-06-13 18:00:00+00:00
1781377200000,64122.7,64298.7,64111.1,64264.2,3087.802,198255750.0777,2026-06-13 19:00:00+00:00
1781380800000,64264.2,64264.3,64195.3,64252.4,1079.311,69324290.1851,2026-06-13 20:00:00+00:00
1781384400000,64252.4,64738.0,64189.6,64435.2,7334.893,473133442.3222,2026-06-13 21:00:00+00:00
1781388000000,64435.2,64529.0,64349.3,64413.4,2850.59,183675319.6674,2026-06-13 22:00:00+00:00
1781391600000,64413.4,64572.0,64350.5,64418.2,2165.507,139537066.916,2026-06-13 23:00:00+00:00
1781395200000,64418.3,64548.6,64338.8,64519.3,2060.185,132796030.0756,2026-06-14 00:00:00+00:00
1781398800000,64519.2,64682.2,64466.4,64534.1,2612.929,168758956.8781,2026-06-14 01:00:00+00:00
1781402400000,64534.0,64606.4,64436.7,64450.0,2045.452,131979435.7898,2026-06-14 02:00:00+00:00
1781406000000,64450.1,64518.4,64421.7,64515.0,3269.628,210792902.7133,2026-06-14 03:00:00+00:00
1781409600000,64515.0,64532.8,64281.0,64300.0,2599.296,167357946.5297,2026-06-14 04:00:00+00:00
1781413200000,64300.0,64378.5,64260.0,64318.1,2076.942,133585821.6022,2026-06-14 05:00:00+00:00
1781416800000,64318.1,64450.1,64208.5,64258.0,3360.246,216086075.1814,2026-06-14 06:00:00+00:00
1781420400000,64258.0,64412.7,64186.5,64392.0,2472.615,158959779.3186,2026-06-14 07:00:00+00:00
1781424000000,64392.1,64486.9,64353.2,64423.1,1629.08,104967437.7301,2026-06-14 08:00:00+00:00
1781427600000,64423.1,64593.1,64281.1,64584.7,3100.679,199865538.384,2026-06-14 09:00:00+00:00
1781431200000,64584.8,64640.6,64452.8,64485.4,2531.79,163412898.0448,2026-06-14 10:00:00+00:00
1781434800000,64485.5,64614.4,64419.3,64511.7,1865.041,120353058.1334,2026-06-14 11:00:00+00:00
1781438400000,64511.7,64531.2,64255.9,64296.8,3294.214,212045734.7122,2026-06-14 12:00:00+00:00
1781442000000,64296.7,64369.0,64207.3,64287.5,2943.823,189258160.8556,2026-06-14 13:00:00+00:00
1781445600000,64287.4,64313.1,63830.0,63953.7,8475.881,542615826.7099,2026-06-14 14:00:00+00:00
1781449200000,63953.7,64123.8,63945.8,63995.2,4281.19,274162336.5579,2026-06-14 15:00:00+00:00
1781452800000,63995.2,64183.4,63901.3,63913.8,3323.998,212871274.261,2026-06-14 16:00:00+00:00
1781456400000,63913.8,64000.0,63650.0,63706.1,5470.458,349125728.1668,2026-06-14 17:00:00+00:00
1781460000000,63706.2,63791.9,63650.9,63783.9,3170.311,202010466.294,2026-06-14 18:00:00+00:00
1781463600000,63783.9,63830.9,63702.0,63777.3,1358.481,86636854.0656,2026-06-14 19:00:00+00:00
1781467200000,63777.4,64070.0,63761.5,63978.1,3073.059,196458165.9934,2026-06-14 20:00:00+00:00
1781470800000,63978.2,65652.0,63973.4,65284.4,27695.963,1799089803.5692,2026-06-14 21:00:00+00:00
1781474400000,65284.4,65555.0,64918.2,65389.2,14246.288,929171859.6894,2026-06-14 22:00:00+00:00
1781478000000,65389.2,65775.0,65217.0,65702.1,9775.909,640994553.8766,2026-06-14 23:00:00+00:00
1781481600000,65702.1,65880.0,65444.0,65591.4,9044.986,593714832.8378,2026-06-15 00:00:00+00:00
1781485200000,65591.4,65705.6,65314.3,65482.6,5936.809,388738313.8676,2026-06-15 01:00:00+00:00
1781488800000,65482.6,65749.0,65383.6,65429.3,3923.62,257208201.9213,2026-06-15 02:00:00+00:00
1781492400000,65429.3,65996.8,65393.4,65894.7,9255.319,608640575.3684,2026-06-15 03:00:00+00:00
1781496000000,65894.6,65894.7,65601.8,65612.2,3331.818,218923744.7482,2026-06-15 04:00:00+00:00
1781499600000,65612.2,65844.7,65577.8,65828.1,3066.816,201566282.6909,2026-06-15 05:00:00+00:00
1781503200000,65828.0,65933.0,65716.4,65773.0,4071.861,268081716.5526,2026-06-15 06:00:00+00:00
1781506800000,65773.0,65978.1,65580.0,65642.3,5386.6,354235926.2223,2026-06-15 07:00:00+00:00
1781510400000,65642.4,65768.1,65580.3,65619.9,3912.2,256856879.2931,2026-06-15 08:00:00+00:00
1781514000000,65620.0,65740.1,65469.0,65559.9,3326.393,218154525.667,2026-06-15 09:00:00+00:00
1781517600000,65559.8,65934.3,65545.2,65884.7,7895.239,519249569.5468,2026-06-15 10:00:00+00:00
1781521200000,65884.7,66346.2,65807.3,66192.0,15452.401,1021972017.0716,2026-06-15 11:00:00+00:00
1781524800000,66192.0,66570.0,66056.4,66528.5,12174.401,807585976.355,2026-06-15 12:00:00+00:00
1781528400000,66528.5,66915.2,66375.1,66410.8,20545.811,1369207055.5707,2026-06-15 13:00:00+00:00
1781532000000,66410.8,66646.8,66265.0,66552.3,8252.837,548290563.6888,2026-06-15 14:00:00+00:00
1781535600000,66552.4,67255.4,66541.5,67248.5,13362.263,894836036.6926,2026-06-15 15:00:00+00:00
1781539200000,67248.5,67254.5,67051.1,67122.3,7578.852,508869552.5936,2026-06-15 16:00:00+00:00
1781542800000,67122.3,67122.4,66635.1,66820.7,8193.907,547722910.0709,2026-06-15 17:00:00+00:00
1781546400000,66820.7,66900.0,66678.5,66726.1,3557.451,237614562.1589,2026-06-15 18:00:00+00:00
